0: LatLng {lat: 30.48900672052744, lng: 114.3036851050731}
1: LatLng {lat: 30.489028178199952, lng: 114.30518177773132}
2: LatLng {lat: 30.489076457963122, lng: 114.30533734585708}
3: LatLng {lat: 30.489478789322863, lng: 114.30603472021397}
4: LatLng {lat: 30.489462696068472, lng: 114.3063136699567}
5: LatLng {lat: 30.489505611413502, lng: 114.30669990806207}
6: LatLng {lat: 30.48966117953928, lng: 114.30695203571418}
7: LatLng {lat: 30.489725552556834, lng: 114.30699495105922}
8: LatLng {lat: 30.48975773906561, lng: 114.3073329094014}
9: LatLng {lat: 30.48976310348374, lng: 114.30745629101835}
10: LatLng {lat: 30.490401469241196, lng: 114.30727926522007}
11: LatLng {lat: 30.490717969910854, lng: 114.30722025662067}
12: LatLng {lat: 30.491533361466598, lng: 114.3072631719657}
13: LatLng {lat: 30.492498956729968, lng: 114.30748847752716}
14: LatLng {lat: 30.493759594990482, lng: 114.30783180028743}
15: LatLng {lat: 30.4944998846924, lng: 114.30820730955656}
16: LatLng {lat: 30.49524017439432, lng: 114.30865255626134}
17: LatLng {lat: 30.496146761058263, lng: 114.30921582016494}
18: LatLng {lat: 30.496570550090524, lng: 114.30946794781704}
19: LatLng {lat: 30.497182093757328, lng: 114.30965033803346}
20: LatLng {lat: 30.497664891389014, lng: 114.3097254398873}
21: LatLng {lat: 30.49837299458215, lng: 114.30972007546916}
22: LatLng {lat: 30.49908646219342, lng: 114.30965570245161}
23: LatLng {lat: 30.499435149371866, lng: 114.30963424477909}
24: LatLng {lat: 30.499746285623395, lng: 114.3095645073434}
25: LatLng {lat: 30.500202261164432, lng: 114.30940357479949}
26: LatLng {lat: 30.50064214345108, lng: 114.30924264225558}
27: LatLng {lat: 30.50174721358583, lng: 114.30884031089585}
28: LatLng {lat: 30.5019939768198, lng: 114.3087383869514}
29: LatLng {lat: 30.50310977579081, lng: 114.30841652186359}
30: LatLng {lat: 30.503388725533565, lng: 114.30833069117352}
31: LatLng {lat: 30.504912220282442, lng: 114.30823949606531}
32: LatLng {lat: 30.506703935937807, lng: 114.30836287768233}
33: LatLng {lat: 30.508608304373908, lng: 114.30844334395425}
34: LatLng {lat: 30.510142527959044, lng: 114.30849698813557}
35: LatLng {lat: 30.51199325221384, lng: 114.3085774544075}
36: LatLng {lat: 30.513184153038672, lng: 114.30859354766187}
37: LatLng {lat: 30.513393365345735, lng: 114.30859354766187}
38: LatLng {lat: 30.515211903091753, lng: 114.30868474277008}
39: LatLng {lat: 30.515276276109308, lng: 114.31399551671865}
40: LatLng {lat: 30.51561423445149, lng: 114.31398478788236}
41: LatLng {lat: 30.516848050621356, lng: 114.3135717276864}
42: LatLng {lat: 30.517808281466603, lng: 114.31329814236176}
43: LatLng {lat: 30.519058190890856, lng: 114.3133410577068}
44: LatLng {lat: 30.51985748919221, lng: 114.31366828721275}
45: LatLng {lat: 30.520216905206905, lng: 114.31385604184726}
46: LatLng {lat: 30.520565592385342, lng: 114.31406525415434}
47: LatLng {lat: 30.52100011025386, lng: 114.31421545786196}
48: LatLng {lat: 30.521654569265706, lng: 114.31419936460759}
49: LatLng {lat: 30.522368036876976, lng: 114.3140598897362}
50: LatLng {lat: 30.52285083450866, lng: 114.3139901523005}
51: LatLng {lat: 30.52362331071936, lng: 114.31430665297017}
52: LatLng {lat: 30.524819575962322, lng: 114.31466606898488}
53: LatLng {lat: 30.525731527044393, lng: 114.31492892547323}
54: LatLng {lat: 30.526267968857375, lng: 114.31509522243527}
55: LatLng {lat: 30.526654206962725, lng: 114.3153044347423}
56: LatLng {lat: 30.52778073476999, lng: 114.3162914876782}
57: LatLng {lat: 30.528150879620956, lng: 114.31661335276601}
58: LatLng {lat: 30.528349363091756, lng: 114.31679574298244}
59: LatLng {lat: 30.528601490743863, lng: 114.31693521785382}
60: LatLng {lat: 30.528982364431084, lng: 114.31696740436257}
61: LatLng {lat: 30.529041373030513, lng: 114.31686011599999}
62: LatLng {lat: 30.529046737448642, lng: 114.3164631490584}
63: LatLng {lat: 30.52908965279368, lng: 114.31611982629806}
64: LatLng {lat: 30.529132568138717, lng: 114.31591597840912}
65: LatLng {lat: 30.52922376324693, lng: 114.31559411332137}
66: LatLng {lat: 30.52932568719139, lng: 114.31531516357859}
67: LatLng {lat: 30.52943297555399, lng: 114.31505230709024}
68: LatLng {lat: 30.52955099275285, lng: 114.31478945060184}
69: LatLng {lat: 30.529631459024788, lng: 114.31460169596733}
70: LatLng {lat: 30.529631459024788, lng: 114.31447831435031}
71: LatLng {lat: 30.52959927251601, lng: 114.3139901523005}
